plugins-ui,Frequência,Descrição,É UI?
eslint,382,"eslint: Um linter para JavaScript que ajuda a identificar e corrigir problemas de código, garantindo que o código siga as melhores práticas e convenções.",0
typescript,338,"typescript: Um superconjunto do JavaScript que adiciona tipagem estática. Ele ajuda a prevenir erros durante o desenvolvimento, oferecendo recursos como autocompletar e verificação de tipos.",0
prettier,299,prettier: Um formatador de código que garante que o código siga um estilo consistente. Ele reformata automaticamente o código para atender a padrões definidos.,0
react,287,react: Uma biblioteca JavaScript para construir interfaces de usuário. O React permite criar componentes reutilizáveis e gerenciar o estado da aplicação de forma eficiente.,1
react-dom,219,react-dom: Uma biblioteca que fornece métodos específicos para interagir com a DOM (Document Object Model) no contexto de aplicações React.,1
jest,194,"jest: Um framework de testes para JavaScript, que permite a realização de testes unitários e de integração de forma simples e eficaz.",0
husky,192,"usky: Uma ferramenta que permite adicionar ganchos (hooks) do Git, ajudando a executar scripts antes de ações como commit e push.",0
@types/react,172,"@types/react: Um pacote que fornece definições de tipos para a biblioteca React, permitindo que o TypeScript reconheça os tipos usados no React.",1
@babel/core,167,"@babel/core: O núcleo do Babel, um compilador JavaScript que permite usar a sintaxe mais recente do JavaScript, convertendo-a em uma versão compatível com navegadores mais antigos.",0
eslint-config-prettier,160,"eslint-config-prettier: Uma configuração do ESLint que desativa regras que podem conflitar com o Prettier, permitindo que ambos funcionem juntos sem problemas.",0
eslint-plugin-import,158,eslint-plugin-import: Um plugin do ESLint que ajuda a garantir que as importações de módulos estejam corretas e que não haja importações não utilizadas.,0
@types/node,157,"@types/node: Um pacote que fornece definições de tipos para o Node.js, permitindo que o TypeScript reconheça tipos e APIs do Node.",0
@typescript-eslint/eslint-plugin,156,@typescript-eslint/eslint-plugin: Um plugin do ESLint que fornece regras específicas para projetos TypeScript.,0
@typescript-eslint/parser,151,@typescript-eslint/parser: Um parser que permite que o ESLint analise código TypeScript.,0
lint-staged,143,"lint-staged: Uma ferramenta que permite executar linters em arquivos que estão prestes a ser commitados, ajudando a manter a qualidade do código.",0
eslint-plugin-react,140,eslint-plugin-react: Um plugin do ESLint que fornece regras específicas para projetos React.,0
@babel/preset-env,128,"@babel/preset-env: Um preset do Babel que permite usar a sintaxe mais recente do JavaScript, convertendo-a em uma versão que é suportada pelos navegadores que você especificar.",0
rimraf,125,"rimraf: Uma ferramenta para remover diretórios e arquivos, semelhante ao comando rm -rf no Unix.",0
webpack,125,webpack: Um empacotador de módulos para JavaScript que permite agrupar arquivos e dependências em um único arquivo para produção.,0
eslint-plugin-prettier,119,"eslint-plugin-prettier: Um plugin do ESLint que executa o Prettier como uma regra do ESLint, permitindo que erros de formatação sejam reportados como erros do ESLint.",0
autoprefixer,116,"autoprefixer: Uma ferramenta que adiciona automaticamente prefixos de fornecedor a CSS, garantindo que o código CSS funcione em todos os navegadores.",1
@types/jest,115,"@types/jest: Um pacote que fornece definições de tipos para a biblioteca Jest, permitindo que o TypeScript reconheça os tipos usados no Jest.",0
babel-loader,103,babel-loader: Um loader para Webpack que permite usar Babel para transpilar arquivos JavaScript.,0
postcss,101,"postcss: Uma ferramenta para transformar CSS com plugins, permitindo que você use recursos como variáveis, mixins e outros.",1
@types/react-dom,99,@types/react-dom: Um pacote que fornece definições de tipos para a biblioteca React DOM.,1
cross-env,97,cross-env: Uma ferramenta que permite definir variáveis de ambiente de forma cross-platform (compatível com diferentes sistemas operacionais).,0
babel-jest,95,babel-jest: Um preset do Jest que permite usar Babel para transpilar testes.,0
babel-eslint,94,babel-eslint: Um parser que permite que o ESLint entenda a sintaxe do Babel.,0
react-test-renderer,94,react-test-renderer: Uma biblioteca para testar componentes React sem precisar renderizá-los no DOM.,1
rollup,91,"rollup: Um empacotador de módulos JavaScript que é especialmente bom para bibliotecas, permitindo criar bundles pequenos e eficientes.",1
@commitlint/config-conventional,84,@commitlint/config-conventional: Uma configuração para o Commitlint que ajuda a garantir que as mensagens de commit sigam as convenções de commit.,0
eslint-plugin-react-hooks,83,eslint-plugin-react-hooks: Um plugin do ESLint que ajuda a garantir que os hooks do React sejam usados corretamente.,0
lodash,82,"lodash: Uma biblioteca de utilitários JavaScript que fornece funções para lidar com arrays, objetos, strings e outros.",0
@testing-library/react,80,@testing-library/react: Uma biblioteca para testar componentes React de forma mais fácil e eficiente.,1
eslint-plugin-jsx-a11y,79,eslint-plugin-jsx-a11y: Um plugin do ESLint que ajuda a garantir que o JSX seja acessível e siga as diretrizes de acessibilidade.,0
vite,79,vite: Uma ferramenta de build que fornece uma experiência de desenvolvimento mais rápida e eficiente.,1
vue,79,"vue: Uma biblioteca JavaScript para construir interfaces de usuário, semelhante ao React.",1
@babel/preset-react,78,@babel/preset-react: Um preset do Babel que permite usar a sintaxe do React.,0
css-loader,77,css-loader: Um loader para Webpack que permite importar arquivos CSS em arquivos JavaScript.,1
react-native,76,react-native: Uma biblioteca para construir aplicativos móveis com React.,1
sass,75,"sass: Uma linguagem de programação CSS que permite usar recursos como variáveis, mixins e outros.",1
@testing-library/jest-dom,74,@testing-library/jest-dom: Uma biblioteca para testar componentes React com o Jest.,1
fs-extra,69,fs-extra: Uma biblioteca que fornece funções adicionais para lidar com o sistema de arquivos.,0
@commitlint/cli,68,@commitlint/cli: Uma ferramenta para garantir que as mensagens de commit sigam as convenções de commit.,0
babel-core,66,"babel-core: O núcleo do Babel, um compilador JavaScript que permite usar a sintaxe mais recente do JavaScript.",0
webpack-cli,65,webpack-cli: Uma interface de linha de comando para o Webpack.,0
webpack-dev-server,63,webpack-dev-server: Um servidor de desenvolvimento para o Webpack que permite servir arquivos estáticos e dinâmicos.,0
tailwindcss,62,tailwindcss: Uma biblioteca CSS que fornece classes utilitárias para estilizar componentes.,1
prop-types,62,prop-types: Uma biblioteca que permite definir tipos de propriedades para componentes React.,1
ts-node,61,ts-node: Uma ferramenta que permite executar arquivos TypeScript como se fossem JavaScript.,0
jsdom,58,"jsdom: Uma biblioteca que fornece uma implementação do DOM em JavaScript, permitindo que você execute testes em um ambiente de navegador.",0
tslib,58,tslib: Uma biblioteca que fornece funções utilitárias para lidar com TypeScript.,0
vitest,57,vitest: Uma ferramenta de testes para Vue.js que fornece recursos como mocking e stubbing.,0
@babel/preset-typescript,56,@babel/preset-typescript: Um preset do Babel que permite usar a sintaxe do TypeScript.,0
axios,56,axios: Uma biblioteca para fazer requisições HTTP em JavaScript.,0
lerna,55,lerna: Uma ferramenta para gerenciar projetos monorepo (um repositório que contém vários projetos).,0
chalk,55,chalk: Uma biblioteca que permite adicionar cores e estilos ao console.,1
npm-run-all,55,npm-run-all: Uma ferramenta que permite executar vários scripts npm em paralelo.,0
html-webpack-plugin,55,html-webpack-plugin: Um plugin do Webpack que permite gerar arquivos HTML para a aplicação.,0
eslint-config-airbnb,55,eslint-config-airbnb: Uma configuração do ESLint que segue as diretrizes de código do Airbnb.,0
vue-router,54,vue-router: Uma biblioteca para gerenciar rotas em aplicações Vue.js.,0
file-loader,54,file-loader: Um loader para Webpack que permite importar arquivos como módulos.,0
gulp,53,"gulp: Uma ferramenta para automatizar tarefas em projetos, como build e deploy.",0
stylelint,53,stylelint: Uma ferramenta para linting CSS que ajuda a garantir que o código CSS siga as melhores práticas.,1
@rollup/plugin-node-resolve,53,@rollup/plugin-node-resolve: Um plugin do Rollup que permite resolver dependências de módulos Node.js.,0
@babel/plugin-proposal-class-properties,52,@babel/plugin-proposal-class-properties: Um plugin do Babel que permite usar propriedades de classe em classes JavaScript.,0
style-loader,51,style-loader: Um loader para Webpack que permite importar arquivos CSS em arquivos JavaScript.,1
ts-jest,51,ts-jest: Um preset do Jest que permite usar TypeScript para testes.,0
semver,50,semver: Uma biblioteca que permite lidar com versões de software de forma mais fácil e eficiente.,0
@babel/runtime,49,@babel/runtime: Um pacote que fornece funções utilitárias para lidar com a runtime do Babel.,0
@babel/cli,48,@babel/cli: Uma interface de linha de comando para o Babel.,0
react-router-dom,48,react-router-dom: Uma biblioteca para gerenciar rotas em aplicações React.,0
@types/lodash,47,@types/lodash: Um pacote que fornece definições de tipos para a biblioteca Lodash.,0
express,47,express: Um framework para construir aplicações web em Node.js.,1
@testing-library/user-event,46,@testing-library/user-event: Uma biblioteca para testar interações do usuário em aplicações React.,0
glob,46,glob: Uma biblioteca que permite lidar com padrões de arquivo em Node.js.,0
@rollup/plugin-commonjs,46,@rollup/plugin-commonjs: Um plugin do Rollup que permite converter módulos CommonJS em módulos ES6.,0
sass-loader,45,sass-loader: Um loader para Webpack que permite importar arquivos Sass em arquivos JavaScript.,0
eslint-plugin-vue,45,eslint-plugin-vue: Um plugin do ESLint que fornece regras específicas para projetos Vue.js.,0
jest-environment-jsdom,44,jest-environment-jsdom: Um ambiente de teste para o Jest que fornece uma implementação do DOM em JavaScript.,0
@babel/plugin-transform-runtime,43,@babel/plugin-transform-runtime: Um plugin do Babel que permite usar a runtime do Babel em projetos.,0
url-loader,42,url-loader: Um loader para Webpack que permite importar arquivos como URLs.,0
core-js,42,core-js: Uma biblioteca que fornece funções utilitárias para lidar com a linguagem JavaScript.,0
eslint-plugin-promise,42,eslint-plugin-promise: Um plugin do ESLint que ajuda a garantir que as promessas sejam usadas corretamente.,0
react-redux,42,react-redux: Uma biblioteca que fornece recursos para lidar com o estado global em aplicações React.,1
vue-template-compiler,41,vue-template-compiler: Uma biblioteca que permite compilar templates Vue.js em código JavaScript.,0
react-scripts,41,react-scripts: Uma biblioteca que fornece recursos para construir aplicações React com facilidade.,1
concurrently,40,concurrently: Uma ferramenta que permite executar vários comandos em paralelo.,0
webpack-bundle-analyzer,40,webpack-bundle-analyzer: Uma ferramenta que permite analisar o tamanho e a composição dos bundles do Webpack.,0
@types/react-native,39,@types/react-native: Um pacote que fornece definições de tipos para a biblioteca React Native.,1
mocha,39,mocha: Um framework de testes para Node.js que permite escrever testes unitários e de integração.,0
@changesets/cli,38,@changesets/cli: Uma ferramenta que permite gerenciar mudanças em projetos.,0
dayjs,37,dayjs: Uma biblioteca que fornece funções utilitárias para lidar com datas e horas em JavaScript.,0
moment,37,moment: Uma biblioteca que fornece funções utilitárias para lidar com datas e horas em JavaScript.,0
postcss-loader,37,postcss-loader: Um loader para Webpack que permite importar arquivos PostCSS em arquivos JavaScript.,0
sinon,37,sinon: Uma biblioteca que permite criar stubs e mocks para testes em JavaScript.,0
copy-webpack-plugin,37,copy-webpack-plugin: Um plugin do Webpack que permite copiar arquivos em diferentes locais.,0
turbo,36,turbo: Uma ferramenta que permite acelerar o desenvolvimento de aplicações com recursos como caching e reload automático.,0
@rollup/plugin-babel,36,@rollup/plugin-babel: Um plugin do Rollup que permite usar Babel para transpilar arquivos JavaScript.,0
