project_name,Frequência,Descrição,is_ui
eslint,382,"eslint: Um linter para JavaScript que ajuda a identificar e corrigir problemas de código, garantindo que o código siga as melhores práticas e convenções.",False
typescript,338,"typescript: Um superconjunto do JavaScript que adiciona tipagem estática. Ele ajuda a prevenir erros durante o desenvolvimento, oferecendo recursos como autocompletar e verificação de tipos.",False
prettier,299,prettier: Um formatador de código que garante que o código siga um estilo consistente. Ele reformata automaticamente o código para atender a padrões definidos.,False
jest,194,"jest: Um framework de testes para JavaScript, que permite a realização de testes unitários e de integração de forma simples e eficaz.",False
husky,192,"usky: Uma ferramenta que permite adicionar ganchos (hooks) do Git, ajudando a executar scripts antes de ações como commit e push.",False
@babel/core,167,"@babel/core: O núcleo do Babel, um compilador JavaScript que permite usar a sintaxe mais recente do JavaScript, convertendo-a em uma versão compatível com navegadores mais antigos.",False
eslint-config-prettier,160,"eslint-config-prettier: Uma configuração do ESLint que desativa regras que podem conflitar com o Prettier, permitindo que ambos funcionem juntos sem problemas.",False
eslint-plugin-import,158,eslint-plugin-import: Um plugin do ESLint que ajuda a garantir que as importações de módulos estejam corretas e que não haja importações não utilizadas.,False
@types/node,157,"@types/node: Um pacote que fornece definições de tipos para o Node.js, permitindo que o TypeScript reconheça tipos e APIs do Node.",False
@typescript-eslint/eslint-plugin,156,@typescript-eslint/eslint-plugin: Um plugin do ESLint que fornece regras específicas para projetos TypeScript.,False
@typescript-eslint/parser,151,@typescript-eslint/parser: Um parser que permite que o ESLint analise código TypeScript.,False
lint-staged,143,"lint-staged: Uma ferramenta que permite executar linters em arquivos que estão prestes a ser commitados, ajudando a manter a qualidade do código.",False
@babel/preset-env,128,"@babel/preset-env: Um preset do Babel que permite usar a sintaxe mais recente do JavaScript, convertendo-a em uma versão que é suportada pelos navegadores que você especificar.",False
rimraf,125,"rimraf: Uma ferramenta para remover diretórios e arquivos, semelhante ao comando rm -rf no Unix.",False
webpack,125,webpack: Um empacotador de módulos para JavaScript que permite agrupar arquivos e dependências em um único arquivo para produção.,False
eslint-plugin-prettier,119,"eslint-plugin-prettier: Um plugin do ESLint que executa o Prettier como uma regra do ESLint, permitindo que erros de formatação sejam reportados como erros do ESLint.",False
autoprefixer,116,"autoprefixer: Uma ferramenta que adiciona automaticamente prefixos de fornecedor a CSS, garantindo que o código CSS funcione em todos os navegadores.",False
@types/jest,115,"@types/jest: Um pacote que fornece definições de tipos para a biblioteca Jest, permitindo que o TypeScript reconheça os tipos usados no Jest.",False
babel-loader,103,babel-loader: Um loader para Webpack que permite usar Babel para transpilar arquivos JavaScript.,False
postcss,101,"postcss: Uma ferramenta para transformar CSS com plugins, permitindo que você use recursos como variáveis, mixins e outros.",False
cross-env,97,cross-env: Uma ferramenta que permite definir variáveis de ambiente de forma cross-platform (compatível com diferentes sistemas operacionais).,False
babel-jest,95,babel-jest: Um preset do Jest que permite usar Babel para transpilar testes.,False
babel-eslint,94,babel-eslint: Um parser que permite que o ESLint entenda a sintaxe do Babel.,False
rollup,91,"rollup: Um empacotador de módulos JavaScript que é especialmente bom para bibliotecas, permitindo criar bundles pequenos e eficientes.",False
@commitlint/config-conventional,84,@commitlint/config-conventional: Uma configuração para o Commitlint que ajuda a garantir que as mensagens de commit sigam as convenções de commit.,False
eslint-plugin-react-hooks,83,eslint-plugin-react-hooks: Um plugin do ESLint que ajuda a garantir que os hooks do React sejam usados corretamente.,False
lodash,82,"lodash: Uma biblioteca de utilitários JavaScript que fornece funções para lidar com arrays, objetos, strings e outros.",False
eslint-plugin-jsx-a11y,79,eslint-plugin-jsx-a11y: Um plugin do ESLint que ajuda a garantir que o JSX seja acessível e siga as diretrizes de acessibilidade.,False
vite,79,vite: Uma ferramenta de build que fornece uma experiência de desenvolvimento mais rápida e eficiente.,False
react-native,76,react-native: Uma biblioteca para construir aplicativos móveis com React.,False
@testing-library/jest-dom,74,@testing-library/jest-dom: Uma biblioteca para testar componentes React com o Jest.,False
fs-extra,69,fs-extra: Uma biblioteca que fornece funções adicionais para lidar com o sistema de arquivos.,False
@commitlint/cli,68,@commitlint/cli: Uma ferramenta para garantir que as mensagens de commit sigam as convenções de commit.,False
babel-core,66,"babel-core: O núcleo do Babel, um compilador JavaScript que permite usar a sintaxe mais recente do JavaScript.",False
webpack-cli,65,webpack-cli: Uma interface de linha de comando para o Webpack.,False
webpack-dev-server,63,webpack-dev-server: Um servidor de desenvolvimento para o Webpack que permite servir arquivos estáticos e dinâmicos.,False
prop-types,62,prop-types: Uma biblioteca que permite definir tipos de propriedades para componentes React.,False
ts-node,61,ts-node: Uma ferramenta que permite executar arquivos TypeScript como se fossem JavaScript.,False
jsdom,58,"jsdom: Uma biblioteca que fornece uma implementação do DOM em JavaScript, permitindo que você execute testes em um ambiente de navegador.",False
tslib,58,tslib: Uma biblioteca que fornece funções utilitárias para lidar com TypeScript.,False
vitest,57,vitest: Uma ferramenta de testes para Vue.js que fornece recursos como mocking e stubbing.,False
axios,56,axios: Uma biblioteca para fazer requisições HTTP em JavaScript.,False
lerna,55,lerna: Uma ferramenta para gerenciar projetos monorepo (um repositório que contém vários projetos).,False
chalk,55,chalk: Uma biblioteca que permite adicionar cores e estilos ao console.,False
npm-run-all,55,npm-run-all: Uma ferramenta que permite executar vários scripts npm em paralelo.,False
html-webpack-plugin,55,html-webpack-plugin: Um plugin do Webpack que permite gerar arquivos HTML para a aplicação.,False
eslint-config-airbnb,55,eslint-config-airbnb: Uma configuração do ESLint que segue as diretrizes de código do Airbnb.,False
file-loader,54,file-loader: Um loader para Webpack que permite importar arquivos como módulos.,False
gulp,53,"gulp: Uma ferramenta para automatizar tarefas em projetos, como build e deploy.",False
stylelint,53,stylelint: Uma ferramenta para linting CSS que ajuda a garantir que o código CSS siga as melhores práticas.,False
@rollup/plugin-node-resolve,53,@rollup/plugin-node-resolve: Um plugin do Rollup que permite resolver dependências de módulos Node.js.,False
@babel/plugin-proposal-class-properties,52,@babel/plugin-proposal-class-properties: Um plugin do Babel que permite usar propriedades de classe em classes JavaScript.,False
ts-jest,51,ts-jest: Um preset do Jest que permite usar TypeScript para testes.,False
semver,50,semver: Uma biblioteca que permite lidar com versões de software de forma mais fácil e eficiente.,False
@babel/runtime,49,@babel/runtime: Um pacote que fornece funções utilitárias para lidar com a runtime do Babel.,False
@babel/cli,48,@babel/cli: Uma interface de linha de comando para o Babel.,False
react-router-dom,48,react-router-dom: Uma biblioteca para gerenciar rotas em aplicações React.,False
@types/lodash,47,@types/lodash: Um pacote que fornece definições de tipos para a biblioteca Lodash.,False
express,47,express: Um framework para construir aplicações web em Node.js.,False
glob,46,glob: Uma biblioteca que permite lidar com padrões de arquivo em Node.js.,False
@rollup/plugin-commonjs,46,@rollup/plugin-commonjs: Um plugin do Rollup que permite converter módulos CommonJS em módulos ES6.,False
sass-loader,45,sass-loader: Um loader para Webpack que permite importar arquivos Sass em arquivos JavaScript.,False
jest-environment-jsdom,44,jest-environment-jsdom: Um ambiente de teste para o Jest que fornece uma implementação do DOM em JavaScript.,False
@babel/plugin-transform-runtime,43,@babel/plugin-transform-runtime: Um plugin do Babel que permite usar a runtime do Babel em projetos.,False
url-loader,42,url-loader: Um loader para Webpack que permite importar arquivos como URLs.,False
core-js,42,core-js: Uma biblioteca que fornece funções utilitárias para lidar com a linguagem JavaScript.,False
eslint-plugin-promise,42,eslint-plugin-promise: Um plugin do ESLint que ajuda a garantir que as promessas sejam usadas corretamente.,False
vue-template-compiler,41,vue-template-compiler: Uma biblioteca que permite compilar templates Vue.js em código JavaScript.,False
concurrently,40,concurrently: Uma ferramenta que permite executar vários comandos em paralelo.,False
webpack-bundle-analyzer,40,webpack-bundle-analyzer: Uma ferramenta que permite analisar o tamanho e a composição dos bundles do Webpack.,False
@types/react-native,39,@types/react-native: Um pacote que fornece definições de tipos para a biblioteca React Native.,False
mocha,39,mocha: Um framework de testes para Node.js que permite escrever testes unitários e de integração.,False
@changesets/cli,38,@changesets/cli: Uma ferramenta que permite gerenciar mudanças em projetos.,False
dayjs,37,dayjs: Uma biblioteca que fornece funções utilitárias para lidar com datas e horas em JavaScript.,False
moment,37,moment: Uma biblioteca que fornece funções utilitárias para lidar com datas e horas em JavaScript.,False
postcss-loader,37,postcss-loader: Um loader para Webpack que permite importar arquivos PostCSS em arquivos JavaScript.,False
sinon,37,sinon: Uma biblioteca que permite criar stubs e mocks para testes em JavaScript.,False
copy-webpack-plugin,37,copy-webpack-plugin: Um plugin do Webpack que permite copiar arquivos em diferentes locais.,False
turbo,36,turbo: Uma ferramenta que permite acelerar o desenvolvimento de aplicações com recursos como caching e reload automático.,False
@rollup/plugin-babel,36,@rollup/plugin-babel: Um plugin do Rollup que permite usar Babel para transpilar arquivos JavaScript.,False
@types/react-test-renderer,35,@types/react-test-renderer: Um pacote que fornece definições de tipos para a biblioteca React Test Renderer.,False
chai,35,,False
prismjs,34,,False
karma,34,,False
release-it,34,,False
classnames,33,,False
vue-loader,33,,False
webpack-merge,33,,False
redux,33,,False
dotenv,32,,False
date-fns,32,,False
next,32,,False
shelljs,32,,False
@storybook/react,31,,False
eslint-plugin-jest,31,,False
stylelint-config-standard,31,,False
@vitejs/plugin-vue,31,,False
less,31,,False
@react-native-community/eslint-config,31,,False
@rollup/plugin-replace,31,,False
node-sass,31,,False
ts-loader,30,,False
uuid,30,,False
gh-pages,29,,False
esbuild,29,,False
mini-css-extract-plugin,29,,False
del,29,,False
bootstrap,29,,False
gulp-rename,28,,False
karma-chrome-launcher,28,,False
eslint-config-standard,28,,False
minimist,27,,False
@vue/test-utils,27,,False
@babel/eslint-parser,27,,False
enzyme,27,,False
babel-preset-es2015,27,,False
@storybook/addon-essentials,26,,False
@emotion/react,26,,False
metro-react-native-babel-preset,26,,False
rxjs,26,,False
rollup-plugin-terser,26,,False
@types/fs-extra,25,,False
terser-webpack-plugin,25,,False
babel-preset-env,25,,False
commitlint,25,,False
@vitejs/plugin-react,25,,False
react-native-gesture-handler,25,,False
ora,24,,False
conventional-changelog-cli,24,,False
cypress,24,,False
framer-motion,24,,False
eslint-loader,24,,False
extract-text-webpack-plugin,24,,False
@emotion/styled,24,,False
react-navigation,24,,False
@storybook/addon-links,23,,False
jquery,23,,False
storybook,23,,False
cssnano,23,,False
eslint-config-next,23,,False
babel-cli,23,,False
highlight.js,23,,False
react-native-reanimated,23,,False
tsx,22,,False
prettier-plugin-tailwindcss,22,,False
pretty-quick,22,,False
